country,medal_type
Belgium,Gold Medal
Italy,Silver Medal
Belgium,Bronze Medal
Australia,Gold Medal
Great Britain,Silver Medal
United States,Bronze Medal
Korea,Gold Medal
Tunisia,Silver Medal
Italy,Bronze Medal
"Hong Kong, China",Gold Medal
France,Silver Medal
Hungary,Bronze Medal
Kazakhstan,Gold Medal
France,Silver Medal
Japan,Bronze Medal
Spain,Bronze Medal
Japan,Gold Medal
Mongolia,Silver Medal
France,Bronze Medal
Sweden,Bronze Medal
Germany,Gold Medal
Australia,Silver Medal
Korea,Bronze Medal
Australia,Gold Medal
Canada,Silver Medal
United States,Bronze Medal
Australia,Gold Medal
Poland,Silver Medal
Great Britain,Bronze Medal
France,Gold Medal
United States,Silver Medal
Sweden,Bronze Medal
Japan,Gold Medal
France,Silver Medal
Egypt,Bronze Medal
United States,Gold Medal
United States,Silver Medal
Canada,Bronze Medal
Japan,Gold Medal
Brazil,Silver Medal
Kazakhstan,Bronze Medal
Republic of Moldova,Bronze Medal
Uzbekistan,Gold Medal
Kosovo,Silver Medal
Brazil,Bronze Medal
France,Bronze Medal
China,Gold Medal
Italy,Silver Medal
Italy,Bronze Medal
Korea,Gold Medal
Korea,Silver Medal
India,Bronze Medal
Japan,Gold Medal
Japan,Silver Medal
Brazil,Bronze Medal
Italy,Gold Medal
Great Britain,Silver Medal
United States,Silver Medal
France,Gold Medal
Japan,Silver Medal
United States,Bronze Medal
United States,Gold Medal
United States,Silver Medal
China,Bronze Medal
France,Gold Medal
Great Britain,Silver Medal
Slovakia,Bronze Medal
Great Britain,Gold Medal
France,Silver Medal
South Africa,Bronze Medal
Germany,Gold Medal
Australia,Silver Medal
Great Britain,Bronze Medal
"Hong Kong, China",Gold Medal
Italy,Silver Medal
United States,Bronze Medal
France,Gold Medal
France,Silver Medal
Ukraine,Bronze Medal
Azerbaijan,Gold Medal
France,Silver Medal
Republic of Moldova,Bronze Medal
Japan,Bronze Medal
Canada,Gold Medal
Korea,Silver Medal
Japan,Bronze Medal
France,Bronze Medal
China,Gold Medal
Sweden,Silver Medal
Croatia,Bronze Medal
Korea,Gold Medal
China,Silver Medal
Switzerland,Bronze Medal
Japan,Gold Medal
United States,Silver Medal
United States,Bronze Medal
Italy,Gold Medal
China,Silver Medal
United States,Bronze Medal
Romania,Gold Medal
Great Britain,Silver Medal
United States,Bronze Medal
South Africa,Gold Medal
China,Silver Medal
Ireland,Bronze Medal
Australia,Gold Medal
Australia,Silver Medal
"Hong Kong, China",Bronze Medal
Canada,Gold Medal
United States,Silver Medal
United States,Bronze Medal
Japan,Gold Medal
Georgia,Silver Medal
Korea,Bronze Medal
Tajikistan,Bronze Medal
Slovenia,Gold Medal
Mexico,Silver Medal
France,Bronze Medal
Kosovo,Bronze Medal
Great Britain,Gold Medal
China,Silver Medal
Guatemala,Bronze Medal
Ireland,Gold Medal
United States,Silver Medal
Italy,Bronze Medal
