country,Bronze Medal,Gold Medal,Silver Medal,population,gdpPerCapita
Albania,2,0,0,2791765.0,9109.291075717332
Algeria,1,2,0,46814308.0,5698.685111397994
Argentina,1,1,1,45696159.0,13223.430879606314
Armenia,1,0,3,2973840.0,8543.835579587334
Australia,16,18,19,26713205.0,67021.16050844517
Austria,3,2,0,9120813.0,59302.49858208911
Azerbaijan,3,2,2,10336577.0,7618.479502450376
Bahrain,1,2,1,1607049.0,29115.478121700085
Belgium,6,3,1,11738763.0,55814.39884253562
Botswana,0,1,1,2521139.0,8495.366578360019
Brazil,10,3,7,211998573.0,10997.196665092646
Bulgaria,3,3,1,6757689.0,15971.880327727422
Cabo Verde,1,0,0,524877.0,5178.35607199401
Canada,11,9,7,39742430.0,56417.788242943374
Chile,0,1,1,19764771.0,16886.611031314253
China,24,40,27,1419321278.0,13057.388969828437
Chinese Taipei,5,2,0,23213962.0,34589.4423364698
Colombia,1,0,3,52886363.0,7300.104943877498
Croatia,3,2,2,3875325.0,22727.384154877334
Cuba,6,2,1,10979783.0,13405.900308321212
Cyprus,0,0,1,1358282.0,25194.32636227234
Czechia,2,3,0,10735859.0,30354.3479846373
Côte d'Ivoire,1,0,0,31934230.0,2721.56241124336
DPR Korea,4,0,2,26498823.0,572.709761976975
Denmark,5,2,2,5977412.0,68589.71742285792
Dominica,0,1,0,66205.0,10694.056340155576
Dominican Republic,2,1,0,11427557.0,11144.6392260393
Ecuador,2,1,2,18135478.0,6704.648203923823
Egypt,1,1,1,116538258.0,2982.6599947975883
Ethiopia,0,1,3,132059767.0,1553.3118425084
Fiji,0,0,1,928784.0,6245.800961256869
France,22,16,26,66548530.0,47033.495706065936
Georgia,1,3,3,3807670.0,8631.262688205648
Germany,8,12,13,84552242.0,54298.97411827353
Great Britain,29,14,22,69138192.0,50554.6919711178
Greece,6,1,1,10047817.0,24908.49504922313
Grenada,2,0,0,117207.0,11995.870553806511
Guatemala,1,1,0,18406359.0,5978.09702614189
"Hong Kong, China",2,2,0,7414909.0,54859.0683985468
Hungary,6,6,7,9676135.0,23089.074304978178
IR Iran,3,3,6,91567738.0,5069.26358713808
India,5,0,1,1450935791.0,2713.4281368071925
Indonesia,1,2,0,283487931.0,5205.477336529011
Ireland,3,4,0,5255017.0,107329.81453723177
Israel,1,1,5,9387021.0,56531.67282783324
Italy,15,12,13,59342867.0,39230.157181317176
Jamaica,2,1,3,2839175.0,7078.8169098417675
Japan,13,20,12,123753041.0,33214.9413605117
Jordan,0,0,1,11552876.0,4636.94061980757
Kazakhstan,3,1,3,20592571.0,14410.05108104277
Kenya,5,4,2,56432944.0,1842.9128914486544
Korea,10,13,9,51717590.0,34049.3437532569
Kosovo,1,0,1,1684790.0,5577.814207705412
Kyrgyzstan,4,0,2,7186009.0,1892.427354321432
Lithuania,2,0,2,2859110.0,28389.95351700354
Malaysia,2,0,0,35557673.0,12529.475705567122
Mexico,2,0,3,130861007.0,15413.529562706177
Mongolia,0,0,1,3475540.0,6313.551275485248
Morocco,1,1,0,38081173.0,4001.373592142238
Netherlands,12,15,7,18228742.0,62676.29439266846
New Zealand,3,10,7,5213944.0,49410.96413770458
Norway,3,4,1,5576660.0,94492.2229434823
Pakistan,0,1,0,251269164.0,1300.5839113190984
Panama,0,0,1,4515577.0,19343.485893386383
Peru,1,0,0,34217848.0,8254.697957627259
Philippines,2,2,0,115843670.0,4070.278505506602
Poland,5,1,4,38539201.0,21915.944754537075
Portugal,1,1,2,10425292.0,28675.359884404195
Puerto Rico,2,0,0,3242204.0,36321.89707988763
Qatar,1,0,0,3048423.0,80266.41971931061
Republic of Moldova,3,0,1,3034961.0,6048.18315622507
Romania,2,3,4,19015088.0,19456.70722112882
Saint Lucia,0,1,1,179744.0,14364.87448816094
Serbia,1,3,1,6736216.0,12154.153014095747
Singapore,1,0,0,5832387.0,90053.69499657686
Slovakia,1,0,0,5506760.0,25570.026658143808
Slovenia,0,2,1,2118697.0,34030.8217739488
South Africa,2,1,3,64007187.0,5831.110809478317
Spain,9,5,4,47910526.0,34378.87532272136
Sweden,3,4,4,10606999.0,58739.32862631551
Switzerland,5,1,2,8921981.0,105184.93594640023
Tajikistan,3,0,0,10590927.0,1223.0279747938966
Thailand,2,1,3,71668011.0,7658.786567971029
Tunisia,1,1,1,12277109.0,4456.097929895385
Türkiye,5,0,3,87473805.0,12730.2110614715
Uganda,0,1,1,50015092.0,1125.8601703661766
Ukraine,4,3,5,37860221.0,4990.541391715595
United States,42,40,44,345426571.0,83320.39980792328
Uzbekistan,3,8,2,36361859.0,2693.921672156531
Zambia,1,0,0,21314956.0,1401.457267845169
