"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
345426571,840,28781080000000,25744100000000,"United States",83320.39980792328,"North America",1
1419321278,156,18532630000000,17963170521080,"China",13057.388969828437,"Asia",2
84552242,276,4591100000000,4076923618912,"Germany",54298.97411827353,"Europe",3
123753041,392,4110450000000,4232173916087,"Japan",33214.9413605117,"Asia",4
1450935791,356,3937010000000,3465541446546,"India",2713.4281368071925,"Asia",5
69138192,826,3495260000000,3089072722400,"United Kingdom",50554.69197111778,"Europe",6
66548530,250,3130010000000,2775316950606,"France",47033.495706065936,"Europe",7
211998573,76,2331390000000,1920095477164,"Brazil",10997.196665092646,"South America",8
59342867,380,2328030000000,2046952679267,"Italy",39230.157181317176,"Europe",9
39742430,124,2242180000000,2137939220075,"Canada",56417.788242943374,"North America",10
144820423,643,2056840000000.0002,2240422438363,"Russia",14202.69294476512,"Asia, Europe",11
130861007,484,2017030000000,1463323889037,"Mexico",15413.529562706177,"North America",12
26713205,36,1790350000000,1776577055828,"Australia",67021.16050844517,"Oceania",13
51717590,410,1760950000000,1673916512232,"South Korea",34049.34375325687,"Asia",14
47910526,724,1647110000000,1415874440909,"Spain",34378.87532272136,"Europe",15
283487931,360,1475690000000,1319100220389,"Indonesia",5205.477336529011,"Asia",16
18228742,528,1142510000000,1008027491155,"Netherlands",62676.29439266846,"Europe",17
87473805,792,1113560000000,907118411781,"Turkey",12730.21106147149,"Asia",18
33962757,682,1106020000000,1108148978218,"Saudi Arabia",32565.671862269603,"Asia",19
8921981,756,938458000000,818426550206,"Switzerland",105184.93594640025,"Europe",20
38539201,616,844623000000,688125010515,"Poland",21915.944754537075,"Europe",21
23213962,158,802958000000,0,"Taiwan",34589.44233646975,"Asia",22
11738763,56,655192000000,582643021606,"Belgium",55814.39884253562,"Europe",23
10606999,752,623048000000,591188594777,"Sweden",58739.32862631551,"Europe",24
45696159,32,604260000000,631133142842,"Argentina",13223.430879606314,"South America",25
5255017,372,564020000000,532415762408,"Ireland",107329.81453723175,"Europe",26
71668011,764,548890000000,495340592811,"Thailand",7658.786567971029,"Asia",27
9120813,40,540886999999.99994,470302170937,"Austria",59302.49858208911,"Europe",28
9387021,376,530664000000,525002447653,"Israel",56531.67282783324,"Asia",29
11027129,784,527796000000.00006,507063968273,"United Arab Emirates",47863.41032194328,"Asia",30
5576660,578,526951000000,579422449510,"Norway",94492.2229434823,"Europe",31
5832387,702,525227999999.99994,466788684720,"Singapore",90053.69499657686,"Asia",32
115843670,608,471516000000,404284327312,"Philippines",4070.278505506602,"Asia",33
100987686,704,465814000000,408802379068,"Vietnam",4612.582171652096,"Asia",34
91567738,364,464181000000,398047827909,"Iran",5069.263587138082,"Asia",35
173562364,50,455162000000,432677196297,"Bangladesh",2622.4694657881014,"Asia",36
35557673,458,445519000000,406305835133,"Malaysia",12529.475705567122,"Asia",37
5977412,208,409989000000,400167196949,"Denmark",68589.71742285792,"Europe",38
7414909,344,406775000000,359838598806,"Hong Kong",54859.06839854676,"Asia",39
52886363,170,386076000000,343939431021,"Colombia",7300.104943877498,"South America",40
64007187,710,373233000000,405270838094,"South Africa",5831.110809478317,"Africa",41
19015088,642,369971000000,300690523038,"Romania",19456.70722112882,"Europe",42
116538258,818,347594000000,409306889921,"Egypt",2982.6599947975883,"Africa",43
19764771,152,333760000000,300686006235,"Chile",16886.611031314253,"South America",44
10735859,203,325880000000,290527550627,"Czech Republic",30354.34798463728,"Europe",45
5617310,246,308055000000,282511948123,"Finland",54840.306125173796,"Europe",46
10425292,620,298949000000,254849986507,"Portugal",28675.359884404195,"Europe",47
20592571,398,296740000000,225496328925,"Kazakhstan",14410.05108104277,"Asia",48
34217848,604,282458000000,242631549613,"Peru",8254.697957627259,"South America",49
46814308,12,266779999999.99997,191912889424,"Algeria",5698.685111397994,"Africa",50
46042015,368,265894000000,264182174000,"Iraq",5775.029611540676,"Asia",51
5213944,554,257625999999.99997,245845230421,"New Zealand",49410.96413770458,"Oceania",52
232679478,566,252738000000,475058516256,"Nigeria",1086.2066658065994,"Africa",53
10047817,300,250276000000,217285748966,"Greece",24908.49504922313,"Europe",54
3048423,634,244686000000,237101110334,"Qatar",80266.41971931061,"Asia",55
9676135,348,223413000000,177337436677,"Hungary",23089.074304978174,"Europe",56
132059767,231,205130000000,118971956761,"Ethiopia",1553.3118425084,"Africa",57
37860221,804,188943000000,160502739236,"Ukraine",4990.541391715595,"Europe",58
4934507,414,160397000000,175363096724,"Kuwait",32505.17224922368,"Asia",59
38081173,504,152377000000,130912555699,"Morocco",4001.373592142238,"Africa",60
5506760,703,140808000000,115304861561,"Slovakia",25570.026658143808,"Europe",61
11427557,214,127356000000,113537385335,"Dominican Republic",11144.6392260393,"North America",62
18135478,218,121592000000,115049476000,"Ecuador",6704.648203923823,"South America",63
3242204,630,117763000000,113434800000,"Puerto Rico",36321.89707988763,"North America",64
18406359,320,110035000000,95003333377,"Guatemala",5978.09702614189,"North America",65
5281538,512,108927000000,114666891922,"Oman",20624.10608425046,"Asia",66
6757689,100,107933000000,90213021410,"Bulgaria",15971.880327727422,"Europe",67
56432944,404,104001000000,113419826114,"Kenya",1842.9128914486546,"Africa",68
28405543,862,102328000000,129313577578,"Venezuela",3602.395490204148,"South America",69
36361859,860,97956000000,80391856039,"Uzbekistan",2693.921672156531,"Asia",70
5129910,188,96058000000,68380838316,"Costa Rica",18725.0848455431,"North America",71
37885849,24,92123000000,113304650637,"Angola",2431.59391782404,"Africa",72
673036,442,88556000000,81530900728,"Luxembourg",131576.91416209535,"Europe",73
3875325,191,88076000000,71552026308,"Croatia",22727.384154877334,"Europe",74
4515577,591,87347000000,76522511781,"Panama",19343.485893386383,"North America",75
31934230,384,86911000000,70018715017,"Ivory Coast",2721.562411243359,"Africa",76
3386588,858,82605000000,71171124161,"Uruguay",24391.806738817948,"South America",77
7494498,795,81896000000,67009479866,"Turkmenistan",10927.483068245532,"Asia",78
6736216,688,81873000000,63563408740,"Serbia",12154.153014095747,"Europe",79
2859110,440,81170000000,70878074438,"Lithuania",28389.95351700354,"Europe",80
68560157,834,79605000000,0,"Tanzania",1161.0971077560398,"Africa",81
10336577,31,78749000000,78721058824,"Azerbaijan",7618.479502450376,"Asia",82
34427414,288,75244000000,73766052453,"Ghana",2185.583848964084,"Africa",83
109276265,180,73761000000,62551772879,"DR Congo",674.9956177583485,"Africa",84
2118697,705,72101000000,59981881632,"Slovenia",34030.8217739488,"Europe",85
9056696,112,69048000000,72873850196,"Belarus",7623.972362548108,"Europe",86
54500091,104,68006000000,65211850021,"Myanmar",1247.8144302548046,"Asia",87
50015092,800,56310000000,48243487554,"Uganda",1125.8601703661766,"Africa",88
12277109,788,54708000000,46181208397,"Tunisia",4456.097929895385,"Africa",89
720262,446,54677000000,24042287078,"Macau",75912.65400645876,"Asia",90
11552876,400,53570000000,47452112676,"Jordan",4636.94061980757,"Asia",91
29123744,120,53205000000,44341646508,"Cameroon",1826.8598982328645,"Africa",92
