,3x3-basketball,alpine-skiing,archery,artistic-gymnastics,artistic-swimming,athletics,badminton,baseball,baseball-softball,basketball,basque-pelota,beach-volleyball,biathlon,bobsleigh,boxing,canoe-marathon,canoe-slalom,canoe-sprint,cricket,croquet,cross-country-skiing,curling,cycling-bmx,cycling-bmx-freestyle,cycling-bmx-racing,cycling-mountain-bike,cycling-road,cycling-track,diving,equestrian,equestrian-dressage,equestrian-eventing,equestrian-jumping,equestrian-vaulting,fencing,figure-skating,football,freestyle-skiing,golf,gymnastics-artistic,gymnastics-rhythmic,handball,hockey,ice-hockey,jeu-de-paume,judo,karate,lacrosse,luge,marathon-swimming,military-patrol,modern-pentathlon,nordic-combined,polo,rackets,rhythmic-gymnastics,roque,rowing,rugby,rugby-sevens,sailing,shooting,short-track,short-track-speed-skating,skateboarding,skeleton,ski-jumping,snowboard,softball,speed-skating,sport-climbing,surfing,swimming,synchronized-swimming,table-tennis,taekwondo,tennis,trampoline,trampoline-gymnastics,triathlon,tug-of-war,volleyball,water-motorsports,water-polo,weightlifting,wrestling
beijing-2022,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,,,,
tokyo-2020,True,,True,True,True,True,True,,True,True,,True,,,True,,True,True,,,,,,True,True,True,True,True,True,True,,,,,True,,True,,True,,,True,True,,,True,True,,,True,,True,,,,True,,True,,True,True,True,,,True,,,,,,True,True,True,,True,True,True,,True,True,,True,,True,True,True
pyeongchang-2018,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,
rio-2016,,,True,,,True,True,,,True,,True,,,True,,True,True,,,,,True,,,True,True,True,True,,True,True,True,,True,,True,,True,True,True,True,True,,,True,,,,True,,True,,,,,,True,True,,True,True,,,,,,,,,,,True,True,True,True,True,True,,True,,True,,True,True,True
sochi-2014,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,,,,
london-2012,,,True,,,True,True,,,True,,True,,,True,,True,True,,,,,True,,,True,True,True,True,,True,True,True,,True,,True,,,True,True,True,True,,,True,,,,True,,True,,,,,,True,,,True,True,,,,,,,,,,,True,True,True,True,True,True,,True,,True,,True,True,True
vancouver-2010,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,,,,
beijing-2008,,,True,,,True,True,True,,True,,True,,,True,,True,True,,,,,True,,,True,True,True,True,,True,True,True,,True,,True,,,True,True,True,True,,,True,,,,True,,True,,,,,,True,,,True,True,,,,,,,True,,,,True,True,True,True,True,True,,True,,True,,True,True,True
turin-2006,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,,,,
athens-2004,,,True,,,True,True,True,,True,,True,,,True,,True,True,,,,,,,,True,True,True,True,,True,True,True,,True,,True,,,True,True,True,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,True,,,,True,True,True,True,True,True,,True,,True,,True,True,True
salt-lake-city-2002,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,,,,
sydney-2000,,,True,,,True,True,True,,True,,True,,,True,,True,True,,,,,,,,True,True,True,True,,True,True,True,,True,,True,,,True,True,True,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,True,,,,True,True,True,True,True,True,,True,,True,,True,True,True
nagano-1998,,True,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,True,,,,True,,,,,,,,,,,True,,,True,True,,True,,,,,,,,,,,,,,,,
atlanta-1996,,,True,,,True,True,True,,True,,True,,,True,,True,True,,,,,,,,True,True,True,True,,True,True,True,,True,,True,,,True,True,True,True,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,True,,,,True,True,True,,True,,,,,True,,True,True,True
