Event,AFGm,AFGw,AFGall,ALBm,ALBw,ALBall,ALGm,ALGw,ALGall,ASAm,ASAw,ASAall,ANDm,ANDw,ANDall,ANGm,ANGw,ANGall,ANTm,ANTw,ANTall,ARGm,ARGw,ARGall,ARMm,ARMw,ARMall,ARUm,ARUw,ARUall,ANZm,ANZw,ANZall,AUSm,AUSw,AUSall,AUTm,AUTw,AUTall,AZEm,AZEw,AZEall,BRNm,BRNw,BRNall,BANm,BANw,BANall,BARm,BARw,BARall,BLRm,BLRw,BLRall,BELm,BELw,BELall,BIZm,BIZw,BIZall,BENm,BENw,BENall,BERm,BERw,BERall,BHUm,BHUw,BHUall,BOHm,BOHw,BOHall,BOLm,BOLw,BOLall,BIHm,BIHw,BIHall,BOTm,BOTw,BOTall,BRAm,BRAw,BRAall,IVBm,IVBw,IVBall,BRUm,BRUw,BRUall,BULm,BULw,BULall,BURm,BURw,BURall,BDIm,BDIw,BDIall,CPVm,CPVw,CPVall,CAMm,CAMw,CAMall,CMRm,CMRw,CMRall,CANm,CANw,CANall,CAYm,CAYw,CAYall,CAFm,CAFw,CAFall,CHAm,CHAw,CHAall,CHIm,CHIw,CHIall,TPEm,TPEw,TPEall,COLm,COLw,COLall,COMm,COMw,COMall,CGOm,CGOw,CGOall,COKm,COKw,COKall,CRCm,CRCw,CRCall,CIVm,CIVw,CIVall,CRTm,CRTw,CRTall,CROm,CROw,CROall,CUBm,CUBw,CUBall,CYPm,CYPw,CYPall,CZEm,CZEw,CZEall,TCHm,TCHw,TCHall,PRKm,PRKw,PRKall,CODm,CODw,CODall,DENm,DENw,DENall,DJIm,DJIw,DJIall,DMAm,DMAw,DMAall,DOMm,DOMw,DOMall,GDRm,GDRw,GDRall,ECUm,ECUw,ECUall,EGYm,EGYw,EGYall,ESAm,ESAw,ESAall,GEQm,GEQw,GEQall,ERIm,ERIw,ERIall,ESTm,ESTw,ESTall,SWZm,SWZw,SWZall,ETHm,ETHw,ETHall,FSMm,FSMw,FSMall,FIJm,FIJw,FIJall,FINm,FINw,FINall,FRAm,FRAw,FRAall,GABm,GABw,GABall,GEOm,GEOw,GEOall,GERm,GERw,GERall,GHAm,GHAw,GHAall,GBRm,GBRw,GBRall,GREm,GREw,GREall,GRNm,GRNw,GRNall,GUMm,GUMw,GUMall,GUAm,GUAw,GUAall,GUIm,GUIw,GUIall,GBSm,GBSw,GBSall,GUYm,GUYw,GUYall,HAIm,HAIw,HAIall,HONm,HONw,HONall,HKGm,HKGw,HKGall,HUNm,HUNw,HUNall,ISLm,ISLw,ISLall,IOAm,IOAw,IOAall,INDm,INDw,INDall,INAm,INAw,INAall,IRQm,IRQw,IRQall,IRLm,IRLw,IRLall,IRIm,IRIw,IRIall,ISRm,ISRw,ISRall,ITAm,ITAw,ITAall,JAMm,JAMw,JAMall,JPNm,JPNw,JPNall,JORm,JORw,JORall,KAZm,KAZw,KAZall,KENm,KENw,KENall,KSAm,KSAw,KSAall,KIRm,KIRw,KIRall,CORm,CORw,CORall,KOSm,KOSw,KOSall,KUWm,KUWw,KUWall,KGZm,KGZw,KGZall,LAOm,LAOw,LAOall,LATm,LATw,LATall,LBNm,LBNw,LBNall,LESm,LESw,LESall,LBRm,LBRw,LBRall,LBAm,LBAw,LBAall,LIEm,LIEw,LIEall,LTUm,LTUw,LTUall,LUXm,LUXw,LUXall,MADm,MADw,MADall,MAWm,MAWw,MAWall,MALm,MALw,MALall,MASm,MASw,MASall,MDVm,MDVw,MDVall,MLIm,MLIw,MLIall,MLTm,MLTw,MLTall,MHLm,MHLw,MHLall,MTNm,MTNw,MTNall,MRIm,MRIw,MRIall,MEXm,MEXw,MEXall,MONm,MONw,MONall,MGLm,MGLw,MGLall,MNEm,MNEw,MNEall,MARm,MARw,MARall,MOZm,MOZw,MOZall,MYAm,MYAw,MYAall,NAMm,NAMw,NAMall,NRUm,NRUw,NRUall,NEPm,NEPw,NEPall,NEDm,NEDw,NEDall,AHOm,AHOw,AHOall,NZLm,NZLw,NZLall,NCAm,NCAw,NCAall,NIGm,NIGw,NIGall,NGRm,NGRw,NGRall,NBOm,NBOw,NBOall,MKDm,MKDw,MKDall,YARm,YARw,YARall,NORm,NORw,NORall,OMAm,OMAw,OMAall,PAKm,PAKw,PAKall,PLWm,PLWw,PLWall,PLEm,PLEw,PLEall,PANm,PANw,PANall,PNGm,PNGw,PNGall,PARm,PARw,PARall,CHNm,CHNw,CHNall,PERm,PERw,PERall,PHIm,PHIw,PHIall,POLm,POLw,POLall,PORm,PORw,PORall,PURm,PURw,PURall,QATm,QATw,QATall,EORm,EORw,EORall,KORm,KORw,KORall,MDAm,MDAw,MDAall,RHOm,RHOw,RHOall,ROCm,ROCw,ROCall,ROUm,ROUw,ROUall,RUSm,RUSw,RUSall,RWAm,RWAw,RWAall,SAAm,SAAw,SAAall,SKNm,SKNw,SKNall,LCAm,LCAw,LCAall,VINm,VINw,VINall,SAMm,SAMw,SAMall,SMRm,SMRw,SMRall,STPm,STPw,STPall,SENm,SENw,SENall,SRBm,SRBw,SRBall,SCGm,SCGw,SCGall,SEYm,SEYw,SEYall,SLEm,SLEw,SLEall,SGPm,SGPw,SGPall,SVKm,SVKw,SVKall,SLOm,SLOw,SLOall,SOLm,SOLw,SOLall,SOMm,SOMw,SOMall,RSAm,RSAw,RSAall,SSDm,SSDw,SSDall,VNMm,VNMw,VNMall,YMDm,YMDw,YMDall,URSm,URSw,URSall,ESPm,ESPw,ESPall,SRIm,SRIw,SRIall,SUDm,SUDw,SUDall,SURm,SURw,SURall,SWEm,SWEw,SWEall,SUIm,SUIw,SUIall,SYRm,SYRw,SYRall,TJKm,TJKw,TJKall,THAm,THAw,THAall,BAHm,BAHw,BAHall,GAMm,GAMw,GAMall,TLSm,TLSw,TLSall,TOGm,TOGw,TOGall,TGAm,TGAw,TGAall,TTOm,TTOw,TTOall,TUNm,TUNw,TUNall,TURm,TURw,TURall,TKMm,TKMw,TKMall,TUVm,TUVw,TUVall,UGAm,UGAw,UGAall,UKRm,UKRw,UKRall,EUNm,EUNw,EUNall,UAEm,UAEw,UAEall,UARm,UARw,UARall,TANm,TANw,TANall,USAm,USAw,USAall,ISVm,ISVw,ISVall,UNKm,UNKw,UNKall,URUm,URUw,URUall,UZBm,UZBw,UZBall,VANm,VANw,VANall,VENm,VENw,VENall,VIEm,VIEw,VIEall,FRGm,FRGw,FRGall,WIFm,WIFw,WIFall,YEMm,YEMw,YEMall,YUGm,YUGw,YUGall,ZAMm,ZAMw,ZAMall,ZIMm,ZIMw,ZIMall
100 BCE Ancient Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109 CE Ancient Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149 CE Ancient Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152 BCE Ancient Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859 Zappas Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 Zappas Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Zappas Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888-89 Zappas Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,,,,19.0,0,19.0,,,,10,0,10.0,102.0,0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,1.0,0,1.0,15.0,0,15.0,,,,,,,,,,,,,,,,67,0,67.0,,,,,,,,,,,,,6.0,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,13,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.0,15,758.0,,,,,,,76.0,0,76.0,,,,94,1,95.0,2.0,0,2.0,,,,,,,,,,,,,,,,,,,2.0,0,2.0,,,,,,,19,0,19.0,,,,,,,1,0,1.0,,,,,,,,,,1.0,0,1.0,,,,22.0,1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,,,,10.0,0,10.0,17.0,2,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,4,70.0,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
