year,season,city,country,region,noc
1896,Summer,Athens,Greece,Europe,GRE
1900,Summer,Paris,France,Europe,FRA
1904,Summer,St. Louis,United States,North America,USA
1908,Summer,London,United Kingdom,Europe,GBR
1912,Summer,Stockholm,Sweden,Europe,SWE
1920,Summer,Antwerp,Belgium,Europe,BEL
1924,Winter,Chamonix,France,Europe,FRA
1924,Summer,Paris,France,Europe,FRA
1928,Winter,St. Moritz,Switzerland,Europe,SUI
1928,Summer,Amsterdam,Netherlands,Europe,NED
1932,Winter,Lake Placid,United States,North America,USA
1932,Summer,Los Angeles,United States,North America,USA
1936,Winter,Garmisch-Partenkirchen,Germany,Europe,GER
1936,Summer,Berlin,Germany,Europe,GER
1948,Winter,St. Moritz,Switzerland,Europe,SUI
1948,Summer,London,United Kingdom,Europe,GBR
1952,Winter,Oslo,Norway,Europe,NOR
1952,Summer,Helsinki,Finland,Europe,FIN
1956,Winter,Cortina d'Ampezzo,Italy,Europe,ITA
1956,Summer,Melbourne,Australia,Oceania,AUS
1960,Winter,Squaw Valley,United States,North America,USA
1960,Summer,Rome,Italy,Europe,ITA
1964,Winter,Innsbruck,Austria,Europe,AUT
1964,Summer,Tokyo,Japan,Asia,JPN
1968,Winter,Grenoble,France,Europe,FRA
1968,Summer,Mexico City,Mexico,North America,MEX
1972,Winter,Sapporo,Japan,Asia,JPN
1972,Summer,Munich,West Germany,Europe,FRG
1976,Winter,Innsbruck,Austria,Europe,AUT
1976,Summer,Montreal,Canada,North America,CAN
1980,Winter,Lake Placid,United States,North America,USA
1980,Summer,Moscow,Soviet Union,Europe,URS
1984,Winter,Sarajevo,Yugoslavia,Europe,YUG
1984,Summer,Los Angeles,United States,North America,USA
1988,Winter,Calgary,Canada,North America,CAN
1988,Summer,Seoul,South Korea,Asia,KOR
1992,Winter,Albertville,France,Europe,FRA
1992,Summer,Barcelona,Spain,Europe,ESP
1994,Winter,Lillehammer,Norway,Europe,NOR
1996,Summer,Atlanta,United States,North America,USA
1998,Winter,Nagano,Japan,Asia,JPN
2000,Summer,Sydney,Australia,Oceania,AUS
2002,Winter,Salt Lake City,United States,North America,USA
2004,Summer,Athens,Greece,Europe,GRE
2006,Winter,Turin,Italy,Europe,ITA
2008,Summer,Beijing,China,Asia,CHN
2010,Winter,Vancouver,Canada,North America,CAN
2012,Summer,London,United Kingdom,Europe,GBR
2014,Winter,Sochi,Russia,Europe,RUS
2016,Summer,Rio de Janeiro,Brazil,South America,BRA
2018,Winter,Pyeongchang,South Korea,Asia,KOR
2020,Summer,Tokyo,Japan,Asia,JPN
2022,Winter,Beijing,China,Asia,CHN
2024,Summer,Paris,France,Europe,FRA
